product;date;irca
AN1010_BBJ;01/06/2023 15:15:42;-0,000024
AN1012_BBJ;01/06/2023 15:15:42;-0,000024
AN10F_BBJ;01/06/2023 15:15:42;-0,000024
AJ1012;01/06/2023 15:15:42;0,000000
AJ1012_BBJ;01/06/2023 15:15:42;0,000000
AJ10F_BBJ;01/06/2023 15:15:42;0,000000
AJ1H10_BBJ;01/06/2023 15:15:42;0,000000
AJ1H12_BBJ;01/06/2023 15:15:42;0,000000
AU1010;01/06/2023 15:15:42;-0,000146
AU1010_BBJ;01/06/2023 15:15:42;-0,000146
AU1012;01/06/2023 15:15:42;-0,000146
AU1012_BBJ;01/06/2023 15:15:42;-0,000146
AU10F;01/06/2023 15:15:42;-0,000146
AU10F_BBJ;01/06/2023 15:15:42;-0,000146
CJ1012;01/06/2023 15:15:42;0,000000
CJ1012_BBJ;01/06/2023 15:15:42;0,000000
CJ10F_BBJ;01/06/2023 15:15:42;0,000000
CJ1H10_BBJ;01/06/2023 15:15:42;0,000000
CJ1H12_BBJ;01/06/2023 15:15:42;0,000000
DAH250_BBJ;01/06/2023 15:15:42;0,014203
DAH25E_BBJ;01/06/2023 15:15:42;0,014203
DAH300_BBJ;01/06/2023 15:15:42;0,014203
EA1010_BBJ;01/06/2023 15:15:42;0,000000
EA1012_BBJ;01/06/2023 15:15:42;0,000000
EA10F_BBJ;01/06/2023 15:15:43;0,000000
EC1010_BBJ;01/06/2023 15:15:43;0,000000
EC1012_BBJ;01/06/2023 15:15:43;0,000000
EC10F_BBJ;01/06/2023 15:15:43;0,000000
EG1018;01/06/2023 15:15:43;0,000000
EG1018_BBJ;01/06/2023 15:15:43;0,000000
EG10F_BBJ;01/06/2023 15:15:43;0,000000
EG1H10_BBJ;01/06/2023 15:15:43;0,000000
EG1H12_BBJ;01/06/2023 15:15:43;0,000000
EJ1012;01/06/2023 15:15:43;0,000000
EJ10F_BBJ;01/06/2023 15:15:43;0,000000
EJ1H10_BBJ;01/06/2023 15:15:43;0,000000
